iter	Passed	Remaining
0	19	1909132
1	37	1892924
2	51	1718900
3	69	1746078
4	86	1737017
5	105	1760655
6	123	1758543
7	141	1769970
8	159	1776723
9	177	1773070
10	195	1776579
11	208	1734307
12	225	1735536
13	243	1740608
14	261	1743193
15	279	1743803
16	296	1744672
17	312	1738150
18	331	1744479
19	348	1742837
20	364	1736892
21	383	1741177
22	400	1740739
23	415	1731903
24	433	1735251
25	450	1733929
26	468	1735587
27	485	1734943
28	508	1754280
29	530	1766890
30	557	1796342
31	585	1830197
32	604	1830493
33	621	1828289
34	636	1816678
35	653	1815906
36	670	1812487
37	687	1807271
38	704	1805979
39	721	1803603
40	736	1795961
41	753	1794214
42	770	1791141
43	785	1783326
44	803	1784625
45	821	1784222
46	838	1782617
47	853	1776983
48	872	1779571
49	889	1778707
50	904	1771717
51	921	1771215
52	938	1770490
53	955	1769400
54	973	1769801
55	989	1765158
56	1007	1766248
57	1022	1761653
58	1041	1763577
59	1058	1763344
60	1076	1763199
61	1102	1777395
62	1119	1776178
63	1136	1774596
64	1153	1773702
65	1168	1769513
66	1186	1770269
67	1203	1769006
68	1219	1766205
69	1237	1766218
70	1252	1762513
71	1270	1763064
72	1287	1761992
73	1301	1757096
74	1319	1758089
75	1333	1753826
76	1351	1753727
77	1368	1752914
78	1385	1752907
79	1403	1753116
80	1420	1751897
81	1434	1748184
82	1452	1748080
83	1466	1744641
84	1484	1745222
85	1501	1744994
86	1517	1742223
87	1535	1743881
88	1552	1743215
89	1570	1743617
90	1588	1743614
91	1602	1740610
92	1620	1740374
93	1637	1740374
94	1654	1739995
95	1669	1737855
96	1687	1738358
97	1701	1734677
98	1719	1735544
99	1738	1736677
100	1755	1736806
101	1771	1734739
102	1789	1735414
103	1806	1734883
104	1820	1732044
105	1838	1732390
106	1855	1732589
107	1874	1733629
108	1889	1731802
109	1907	1732280
110	1921	1729196
111	1939	1729990
112	1957	1729955
113	1971	1727717
114	1989	1728007
115	2006	1727666
116	2021	1725923
117	2039	1726287
118	2057	1726585
119	2072	1725067
120	2091	1726125
121	2109	1726670
122	2126	1726506
123	2142	1725946
124	2160	1726416
125	2178	1726401
126	2195	1726607
127	2212	1725919
128	2231	1727843
129	2258	1734891
130	2280	1738808
131	2307	1745951
132	2328	1748621
133	2346	1749129
134	2364	1748935
135	2381	1748382
136	2397	1747867
137	2413	1746278
138	2431	1746650
139	2449	1747366
140	2467	1747266
141	2484	1747073
142	2499	1745672
143	2517	1745683
144	2532	1744142
145	2550	1744560
146	2565	1742687
147	2583	1742697
148	2600	1742409
149	2616	1741774
150	2634	1742103
151	2651	1741666
152	2668	1741494
153	2683	1739550
154	2700	1739618
155	2715	1738009
156	2733	1738643
157	2752	1739186
158	2769	1739162
159	2786	1739051
160	2802	1737608
161	2820	1738518
162	2838	1738568
163	2856	1738738
164	2875	1739674
165	2893	1740082
166	2907	1738232
167	2926	1738942
168	2944	1739143
169	2962	1739708
170	2980	1739899
171	2996	1738919
172	3013	1738956
173	3030	1738523
174	3047	1738623
175	3063	1737797
176	3081	1737630
177	3098	1737461
178	3114	1736937
179	3131	1736859
180	3147	1735866
181	3166	1736475
182	3183	1736503
183	3199	1735899
184	3217	1736031
185	3234	1736007
186	3252	1735830
187	3270	1736327
188	3287	1736111
189	3303	1735132
190	3321	1735642
191	3338	1735373
192	3354	1734497
193	3371	1734721
194	3389	1734969
195	3407	1735009
196	3421	1733333
